Gene Symbol,Gene Accession Id,Allele Symbol,Allele Accession Id,Phenotyping Centre,Colony Id,Sex,Zygosity,Phenotype,Comment
AI464131,MGI:2140300,AI464131<tm1b(KOMP)Wtsi>,MGI:5471224,JAX,JR21488,both,Homozygous , Viable,
AI467606,MGI:2141979,AI467606<tm2b(EUCOMM)Wtsi>,MGI:5609357,BCM,PODGB,both,Homozygous , Viable,
AI837181,MGI:2147598,AI837181<tm1b(KOMP)Wtsi>,MGI:5695124,BCM,AIESB,both,Homozygous , Viable,
AU040320,MGI:2140475,AU040320<em1(IMPC)J>,MGI:5803696,JAX,JR29785,both,Homozygous , Viable,
AW112010,MGI:2147706,AW112010<em1(IMPC)Marc>,-,MARC,AW112010_cas9_del804,both,Homozygous , Viable,
AW549877,MGI:2146232,AW549877<tm1b(EUCOMM)Wtsi>,MGI:5692784,BCM,AWFEB,both,Homozygous , Viable,
Aadac,MGI:1915008,Aadac<em1(IMPC)Mbp>,MGI:6140121,UC Davis,CR1229,both,Homozygous , Viable,
Aak1,MGI:1098687,Aak1<tm1b(EUCOMM)Hmgu>,MGI:5766745,ICS,IP00006097a,both,Homozygous , Subviable,
Aard,MGI:2181621,Aard<tm1.1(KOMP)Vlcg>,MGI:5569071,UC Davis,ET8309,both,Homozygous , Viable,
Aars2,MGI:2681839,Aars2<tm1(KOMP)Wtsi>,MGI:4419134,MARC,Aars2_EPD0406_3_A04-1,both,Homozygous , Lethal,
Aasdhppt,MGI:1914868,Aasdhppt<tm1.1(KOMP)Vlcg>,MGI:5700041,JAX,JR28179,both,Homozygous , Lethal,
Aass,MGI:1353573,Aass<em1(IMPC)Tcp>,-,TCP,TCPR0898_ADNT,both,Homozygous , Viable,
Abat,MGI:2443582,Abat<em2(IMPC)Bay>,-,BCM,ABATB,both,Homozygous , Lethal,
Abca1,MGI:99607,Abca1<tm1b(EUCOMM)Hmgu>,MGI:5548975,BCM,ABCCB,both,Homozygous , Lethal,
Abca13,MGI:2388707,Abca13<tm1b(EUCOMM)Wtsi>,MGI:5603352,BCM,ABCNB,both,Homozygous , Viable,
Abca14,MGI:2388708,Abca14<tm1.1(NCOM)Mfgc>,MGI:5766135,TCP,TCPA0775Cre,both,Homozygous , Viable,
Abca16,MGI:2388711,Abca16<em1(IMPC)J>,MGI:5659623,JAX,JR27607,both,Homozygous , Viable,
Abca17,MGI:3625331,Abca17<tm1b(EUCOMM)Wtsi>,MGI:5692866,MRC Harwell,H-ABCA17-F05-TM1B,both,Homozygous , Viable,
Abca3,MGI:1351617,Abca3<tm1b(EUCOMM)Hmgu>,MGI:5581732,BCM,ABCTB,both,Homozygous , Lethal,
Abca4,MGI:109424,Abca4<tm1a(EUCOMM)Wtsi>,MGI:4441732,WTSI,MCZT,both,Homozygous , Viable,
Abca6,MGI:1923434,Abca6<tm2b(KOMP)Wtsi>,MGI:5513737,TCP,TCPM0226Cre,both,Homozygous , Viable,
Abca7,MGI:1351646,Abca7<tm2b(EUCOMM)Hmgu>,MGI:5605763,JAX,JR24980,both,Homozygous , Viable,
Abca8b,MGI:1351668,Abca8b<tm1b(EUCOMM)Wtsi>,MGI:5548477,UC Davis,BL2226,both,Homozygous , Viable,
Abca9,MGI:2386796,Abca9<em1(IMPC)J>,MGI:5649019,JAX,JR27606,both,Homozygous , Viable,
Abcb11,MGI:1351619,Abcb11<tm1b(EUCOMM)Hmgu>,MGI:5548476,HMGU,GSF-HEPD0507_7_B05-1-3,both,Homozygous , Subviable,
Abcb6,MGI:1921354,Abcb6<tm1a(KOMP)Wtsi>,MGI:4362220,WTSI,MEUK,both,Homozygous , Viable,
Abcb9,MGI:1861729,Abcb9<tm1b(KOMP)Wtsi>,MGI:5513738,TCP,TCPM0210Cre,both,Homozygous , Viable,
Abcc2,MGI:1352447,Abcc2<tm2b(KOMP)Wtsi>,MGI:5548478,MRC Harwell,H-ABCC2-B03-TM1B,both,Homozygous , Viable,
Abcc5,MGI:1351644,Abcc5<em1(IMPC)H>,MGI:5749845,MRC Harwell,H-ABCC5-DEL372-EM1-B6N,both,Homozygous , Viable,
Abcd3,MGI:1349216,Abcd3<em1(IMPC)J>,MGI:5803796,JAX,JR29793,both,Homozygous , Viable,
Abce1,MGI:1195458,Abce1<tm1.1(KOMP)Vlcg>,MGI:5696882,TCP,TCPA0961Cre,both,Homozygous , Lethal,
Abce1,MGI:1195458,Abce1<tm1b(EUCOMM)Hmgu>,MGI:6120699,MRC Harwell,H-ABCE1-B11-TM1B,both,Homozygous , Lethal,
Abcg2,MGI:1347061,Abcg2<tm1.1(KOMP)Vlcg>,MGI:5505632,JAX,JR23411,both,Homozygous , Viable,
Abhd11,MGI:1916008,Abhd11<em1(IMPC)Mbp>,-,UC Davis,CR1037,both,Homozygous , Viable,
Abhd14a,MGI:1915894,Abhd14a<tm2a(EUCOMM)Wtsi>,MGI:4842383,WTSI,MGNJ,both,Homozygous , Viable,
Abhd15,MGI:1914727,Abhd15<tm1b(KOMP)Wtsi>,MGI:5692674,BCM,ABHOB,both,Homozygous , Viable,
Abhd16a,MGI:99476,Abhd16a<tm1a(EUCOMM)Wtsi>,MGI:4820220,WTSI,MFMQ,both,Homozygous , Subviable,
Abhd17a,MGI:106388,Abhd17a<tm1a(KOMP)Wtsi>,MGI:5013744,WTSI,MFTD,both,Homozygous , Viable,
Abhd17b,MGI:1917816,Abhd17b<em1(IMPC)J>,MGI:5696235,JAX,JR28514,both,Homozygous , Viable,
Abhd5,MGI:1914719,Abhd5<tm1a(KOMP)Wtsi>,MGI:4364049,WTSI,MBHQ,both,Homozygous , Viable,
Abhd8,MGI:1918946,Abhd8<tm1b(EUCOMM)Wtsi>,MGI:5612824,BCM,ABHHB,both,Homozygous , Viable,
Abi2,MGI:106913,Abi2<tm1b(EUCOMM)Wtsi>,MGI:5760383,TCP,TCPA0939Cre,both,Homozygous , Viable,
Abi3,MGI:1913860,Abi3<tm1.1(KOMP)Vlcg>,MGI:5700040,JAX,JR28180,both,Homozygous , Viable,
Abi3bp,MGI:2444583,Abi3bp<tm1e.1(KOMP)Mbp>,MGI:5605816,UC Davis,TCPA0007Cre,both,Homozygous , Subviable,
Abo,MGI:2135738,Abo<tm1.1(KOMP)Vlcg>,MGI:5548732,UC Davis,BL2425,both,Homozygous , Viable,
Abraxas2,MGI:1926116,Abraxas2<tm1a(EUCOMM)Wtsi>,MGI:4431611,WTSI,MDYQ,both,Homozygous , Viable,
Abtb2,MGI:2139365,Abtb2<tm1a(KOMP)Wtsi>,MGI:4451397,WTSI,MEWH,both,Homozygous , Viable,
Acaa1a,MGI:2148491,Acaa1a<tm1a(KOMP)Wtsi>,MGI:4451483,WTSI,MEAD,both,Homozygous , Viable,
Acad10,MGI:1919235,Acad10<em1(IMPC)Tcp>,-,TCP,TCPR0809_ADMI,both,Homozygous , Viable,
Acadsb,MGI:1914135,Acadsb<em1(IMPC)J>,MGI:5795947,JAX,JR29742,both,Homozygous , Viable,
Acan,MGI:99602,Acan<tm1b(EUCOMM)Hmgu>,MGI:6120825,MRC Harwell,H-ACAN-G11-TM1B,both,Homozygous , Lethal,
Acap1,MGI:2388270,Acap1<tm1.1(KOMP)Vlcg>,MGI:5585643,JAX,JR25116,both,Homozygous , Viable,
Acat2,MGI:87871,Acat2<tm1b(KOMP)Wtsi>,MGI:5548912,BCM,Acat2 EPD0797_6_H04-1,both,Homozygous , Lethal,
Acbd3,MGI:2181074,Acbd3<tm1b(EUCOMM)Hmgu>,MGI:5548778,HMGU,H4344-HEPD0637_3_G08-1,both,Homozygous , Lethal,
Acbd5,MGI:1921409,Acbd5<tm1b(EUCOMM)Wtsi>,MGI:5637073,WTSI,PMAJ,both,Homozygous , Viable,
Ace,MGI:87874,Ace<tm1.1(KOMP)Vlcg>,MGI:5708267,UC Davis,BL4116,both,Homozygous , Lethal,
Acer1,MGI:2181962,Acer1<tm1a(EUCOMM)Wtsi>,MGI:4432648,WTSI,MFUH,both,Homozygous , Viable,
Ackr3,MGI:109562,Ackr3<tm2b(EUCOMM)Wtsi>,MGI:5692583,ICS,IP00005749a,both,Homozygous , Lethal,
